img_name,upper_fabric,lower_fabric,outer_fabric,upper_pattern,lower_pattern,outer_pattern,img_id,img_num,img_view,segm_name
MEN-Denim-id_00000080-01_7_additional.jpg,1,1,7,3,4,7,MEN-Denim-id_00000080,01,additional,MEN-Denim-id_00000080-01_7_additional_segm.png
MEN-Denim-id_00000089-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,01,additional,MEN-Denim-id_00000089-01_7_additional_segm.png
MEN-Denim-id_00000089-02_7_additional.jpg,1,1,7,2,3,7,MEN-Denim-id_00000089,02,additional,MEN-Denim-id_00000089-02_7_additional_segm.png
MEN-Denim-id_00000089-03_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,03,additional,MEN-Denim-id_00000089-03_7_additional_segm.png
MEN-Denim-id_00000089-04_7_additional.jpg,0,1,7,3,3,7,MEN-Denim-id_00000089,04,additional,MEN-Denim-id_00000089-04_7_additional_segm.png
MEN-Denim-id_00000089-05_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,05,additional,MEN-Denim-id_00000089-05_7_additional_segm.png
MEN-Denim-id_00000089-08_4_full.jpg,1,1,0,4,3,3,MEN-Denim-id_00000089,08,full,MEN-Denim-id_00000089-08_4_full_segm.png
MEN-Denim-id_00000089-15_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,15,full,MEN-Denim-id_00000089-15_4_full_segm.png
MEN-Denim-id_00000089-17_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,17,full,MEN-Denim-id_00000089-17_4_full_segm.png
MEN-Denim-id_00000089-18_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,18,full,MEN-Denim-id_00000089-18_4_full_segm.png
MEN-Denim-id_00000089-26_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,26,additional,MEN-Denim-id_00000089-26_7_additional_segm.png
MEN-Denim-id_00000089-27_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,27,additional,MEN-Denim-id_00000089-27_7_additional_segm.png
MEN-Denim-id_00000089-28_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,28,front,MEN-Denim-id_00000089-28_1_front_segm.png
MEN-Denim-id_00000089-29_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,29,additional,MEN-Denim-id_00000089-29_7_additional_segm.png
MEN-Denim-id_00000089-44_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,44,additional,MEN-Denim-id_00000089-44_7_additional_segm.png
MEN-Denim-id_00000089-45_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,45,additional,MEN-Denim-id_00000089-45_7_additional_segm.png
MEN-Denim-id_00000089-46_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000089,46,additional,MEN-Denim-id_00000089-46_7_additional_segm.png
MEN-Denim-id_00000182-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000182,01,additional,MEN-Denim-id_00000182-01_7_additional_segm.png
MEN-Denim-id_00000265-01_2_side.jpg,1,1,7,3,3,7,MEN-Denim-id_00000265,01,side,MEN-Denim-id_00000265-01_2_side_segm.png
MEN-Denim-id_00000313-01_1_front.jpg,1,0,7,4,3,7,MEN-Denim-id_00000313,01,front,MEN-Denim-id_00000313-01_1_front_segm.png
MEN-Denim-id_00000353-01_7_additional.jpg,1,0,1,3,3,3,MEN-Denim-id_00000353,01,additional,MEN-Denim-id_00000353-01_7_additional_segm.png
MEN-Denim-id_00000353-02_7_additional.jpg,1,0,0,3,4,3,MEN-Denim-id_00000353,02,additional,MEN-Denim-id_00000353-02_7_additional_segm.png
MEN-Denim-id_00000516-01_1_front.jpg,1,0,7,3,3,7,MEN-Denim-id_00000516,01,front,MEN-Denim-id_00000516-01_1_front_segm.png
MEN-Denim-id_00000750-01_1_front.jpg,1,0,1,3,4,3,MEN-Denim-id_00000750,01,front,MEN-Denim-id_00000750-01_1_front_segm.png
MEN-Denim-id_00000826-01_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00000826,01,front,MEN-Denim-id_00000826-01_1_front_segm.png
MEN-Denim-id_00000826-02_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000826,02,additional,MEN-Denim-id_00000826-02_7_additional_segm.png
MEN-Denim-id_00000826-03_1_front.jpg,1,0,7,3,3,7,MEN-Denim-id_00000826,03,front,MEN-Denim-id_00000826-03_1_front_segm.png
MEN-Denim-id_00000826-04_7_additional.jpg,1,0,7,3,4,7,MEN-Denim-id_00000826,04,additional,MEN-Denim-id_00000826-04_7_additional_segm.png
MEN-Denim-id_00000938-02_1_front.jpg,1,1,2,2,3,3,MEN-Denim-id_00000938,02,front,MEN-Denim-id_00000938-02_1_front_segm.png
MEN-Denim-id_00000938-03_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00000938,03,additional,MEN-Denim-id_00000938-03_7_additional_segm.png
MEN-Denim-id_00000938-05_1_front.jpg,0,1,7,3,4,7,MEN-Denim-id_00000938,05,front,MEN-Denim-id_00000938-05_1_front_segm.png
MEN-Denim-id_00001231-01_4_full.jpg,1,0,7,3,4,7,MEN-Denim-id_00001231,01,full,MEN-Denim-id_00001231-01_4_full_segm.png
MEN-Denim-id_00002243-01_4_full.jpg,1,0,1,3,3,3,MEN-Denim-id_00002243,01,full,MEN-Denim-id_00002243-01_4_full_segm.png
MEN-Denim-id_00002476-01_1_front.jpg,1,0,7,3,4,7,MEN-Denim-id_00002476,01,front,MEN-Denim-id_00002476-01_1_front_segm.png
MEN-Denim-id_00002559-01_4_full.jpg,1,0,7,3,4,7,MEN-Denim-id_00002559,01,full,MEN-Denim-id_00002559-01_4_full_segm.png
MEN-Denim-id_00002559-03_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00002559,03,additional,MEN-Denim-id_00002559-03_7_additional_segm.png
MEN-Denim-id_00002578-01_1_front.jpg,1,1,7,3,4,7,MEN-Denim-id_00002578,01,front,MEN-Denim-id_00002578-01_1_front_segm.png
MEN-Denim-id_00002707-01_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00002707,01,front,MEN-Denim-id_00002707-01_1_front_segm.png
MEN-Denim-id_00002735-01_1_front.jpg,1,0,7,3,3,7,MEN-Denim-id_00002735,01,front,MEN-Denim-id_00002735-01_1_front_segm.png
MEN-Denim-id_00002760-01_4_full.jpg,1,0,7,3,3,7,MEN-Denim-id_00002760,01,full,MEN-Denim-id_00002760-01_4_full_segm.png
MEN-Denim-id_00002760-04_4_full.jpg,1,0,7,4,4,7,MEN-Denim-id_00002760,04,full,MEN-Denim-id_00002760-04_4_full_segm.png
MEN-Denim-id_00003074-01_1_front.jpg,1,1,7,3,3,7,MEN-Denim-id_00003074,01,front,MEN-Denim-id_00003074-01_1_front_segm.png
MEN-Denim-id_00003242-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00003242,01,additional,MEN-Denim-id_00003242-01_7_additional_segm.png
MEN-Denim-id_00003252-01_1_front.jpg,1,1,7,3,4,7,MEN-Denim-id_00003252,01,front,MEN-Denim-id_00003252-01_1_front_segm.png
MEN-Denim-id_00003570-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00003570,01,additional,MEN-Denim-id_00003570-01_7_additional_segm.png
MEN-Denim-id_00003734-01_1_front.jpg,4,0,7,2,3,7,MEN-Denim-id_00003734,01,front,MEN-Denim-id_00003734-01_1_front_segm.png
MEN-Denim-id_00003845-02_1_front.jpg,1,0,7,3,4,7,MEN-Denim-id_00003845,02,front,MEN-Denim-id_00003845-02_1_front_segm.png
MEN-Denim-id_00003879-01_7_additional.jpg,1,1,7,3,1,7,MEN-Denim-id_00003879,01,additional,MEN-Denim-id_00003879-01_7_additional_segm.png
MEN-Denim-id_00003879-02_7_additional.jpg,1,1,7,3,1,7,MEN-Denim-id_00003879,02,additional,MEN-Denim-id_00003879-02_7_additional_segm.png
MEN-Denim-id_00004051-01_4_full.jpg,1,0,7,3,3,7,MEN-Denim-id_00004051,01,full,MEN-Denim-id_00004051-01_4_full_segm.png
MEN-Denim-id_00004714-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00004714,01,additional,MEN-Denim-id_00004714-01_7_additional_segm.png
MEN-Denim-id_00004807-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00004807,01,additional,MEN-Denim-id_00004807-01_7_additional_segm.png
MEN-Denim-id_00005208-01_7_additional.jpg,1,1,2,3,3,3,MEN-Denim-id_00005208,01,additional,MEN-Denim-id_00005208-01_7_additional_segm.png
MEN-Denim-id_00005378-01_7_additional.jpg,4,1,7,3,3,7,MEN-Denim-id_00005378,01,additional,MEN-Denim-id_00005378-01_7_additional_segm.png
MEN-Denim-id_00005608-01_7_additional.jpg,1,0,7,3,4,7,MEN-Denim-id_00005608,01,additional,MEN-Denim-id_00005608-01_7_additional_segm.png
MEN-Denim-id_00005663-01_4_full.jpg,1,1,7,3,3,7,MEN-Denim-id_00005663,01,full,MEN-Denim-id_00005663-01_4_full_segm.png
MEN-Denim-id_00005724-01_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00005724,01,additional,MEN-Denim-id_00005724-01_7_additional_segm.png
MEN-Denim-id_00005769-02_4_full.jpg,1,0,1,3,3,3,MEN-Denim-id_00005769,02,full,MEN-Denim-id_00005769-02_4_full_segm.png
MEN-Denim-id_00005826-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00005826,01,additional,MEN-Denim-id_00005826-01_7_additional_segm.png
MEN-Denim-id_00005887-01_7_additional.jpg,1,1,7,3,3,7,MEN-Denim-id_00005887,01,additional,MEN-Denim-id_00005887-01_7_additional_segm.png
MEN-Denim-id_00005887-02_7_additional.jpg,1,0,7,3,3,7,MEN-Denim-id_00005887,02,additional,MEN-Denim-id_00005887-02_7_additional_segm.png
