,masked_img_name,clothing_type,fabric,pattern,segm_name,img_id
0,MEN-Denim-id_00000080-01_7_additional_segm_1.png,1,1,3,MEN-Denim-id_00000080-01_7_additional_segm.png,MEN-Denim-id_00000080
1,MEN-Denim-id_00000080-01_7_additional_segm_4.png,4,1,4,MEN-Denim-id_00000080-01_7_additional_segm.png,MEN-Denim-id_00000080
2,MEN-Denim-id_00000089-01_7_additional_segm_1.png,1,1,3,MEN-Denim-id_00000089-01_7_additional_segm.png,MEN-Denim-id_00000089
3,MEN-Denim-id_00000089-01_7_additional_segm_4.png,4,1,3,MEN-Denim-id_00000089-01_7_additional_segm.png,MEN-Denim-id_00000089
4,MEN-Denim-id_00000089-02_7_additional_segm_1.png,1,1,2,MEN-Denim-id_00000089-02_7_additional_segm.png,MEN-Denim-id_00000089
5,MEN-Denim-id_00000089-02_7_additional_segm_4.png,4,1,3,MEN-Denim-id_00000089-02_7_additional_segm.png,MEN-Denim-id_00000089
6,MEN-Denim-id_00000089-03_7_additional_segm_1.png,1,1,3,MEN-Denim-id_00000089-03_7_additional_segm.png,MEN-Denim-id_00000089
7,MEN-Denim-id_00000089-03_7_additional_segm_4.png,4,1,3,MEN-Denim-id_00000089-03_7_additional_segm.png,MEN-Denim-id_00000089
8,MEN-Denim-id_00000089-04_7_additional_segm_1.png,1,0,3,MEN-Denim-id_00000089-04_7_additional_segm.png,MEN-Denim-id_00000089
9,MEN-Denim-id_00000089-04_7_additional_segm_4.png,4,1,3,MEN-Denim-id_00000089-04_7_additional_segm.png,MEN-Denim-id_00000089
10,MEN-Denim-id_00000089-05_7_additional_segm_1.png,1,1,3,MEN-Denim-id_00000089-05_7_additional_segm.png,MEN-Denim-id_00000089
11,MEN-Denim-id_00000089-05_7_additional_segm_4.png,4,1,3,MEN-Denim-id_00000089-05_7_additional_segm.png,MEN-Denim-id_00000089
12,MEN-Denim-id_00000089-08_4_full_segm_1.png,1,1,4,MEN-Denim-id_00000089-08_4_full_segm.png,MEN-Denim-id_00000089
13,MEN-Denim-id_00000089-08_4_full_segm_2.png,2,0,3,MEN-Denim-id_00000089-08_4_full_segm.png,MEN-Denim-id_00000089
14,MEN-Denim-id_00000089-08_4_full_segm_4.png,4,1,3,MEN-Denim-id_00000089-08_4_full_segm.png,MEN-Denim-id_00000089
15,MEN-Denim-id_00000089-15_4_full_segm_1.png,1,1,3,MEN-Denim-id_00000089-15_4_full_segm.png,MEN-Denim-id_00000089
16,MEN-Denim-id_00000089-15_4_full_segm_4.png,4,1,3,MEN-Denim-id_00000089-15_4_full_segm.png,MEN-Denim-id_00000089
17,MEN-Denim-id_00000089-17_4_full_segm_1.png,1,1,3,MEN-Denim-id_00000089-17_4_full_segm.png,MEN-Denim-id_00000089
18,MEN-Denim-id_00000089-17_4_full_segm_4.png,4,1,3,MEN-Denim-id_00000089-17_4_full_segm.png,MEN-Denim-id_00000089
19,MEN-Denim-id_00000089-18_4_full_segm_1.png,1,1,3,MEN-Denim-id_00000089-18_4_full_segm.png,MEN-Denim-id_00000089
20,MEN-Denim-id_00000089-18_4_full_segm_4.png,4,1,3,MEN-Denim-id_00000089-18_4_full_segm.png,MEN-Denim-id_00000089
21,MEN-Denim-id_00000089-26_7_additional_segm_1.png,1,1,3,MEN-Denim-id_00000089-26_7_additional_segm.png,MEN-Denim-id_00000089
22,MEN-Denim-id_00000089-26_7_additional_segm_4.png,4,1,3,MEN-Denim-id_00000089-26_7_additional_segm.png,MEN-Denim-id_00000089
23,MEN-Denim-id_00000089-27_7_additional_segm_1.png,1,1,3,MEN-Denim-id_00000089-27_7_additional_segm.png,MEN-Denim-id_00000089
24,MEN-Denim-id_00000089-27_7_additional_segm_4.png,4,1,3,MEN-Denim-id_00000089-27_7_additional_segm.png,MEN-Denim-id_00000089
25,MEN-Denim-id_00000089-28_1_front_segm_1.png,1,1,3,MEN-Denim-id_00000089-28_1_front_segm.png,MEN-Denim-id_00000089
26,MEN-Denim-id_00000089-28_1_front_segm_4.png,4,1,3,MEN-Denim-id_00000089-28_1_front_segm.png,MEN-Denim-id_00000089
27,MEN-Denim-id_00000089-29_7_additional_segm_1.png,1,1,3,MEN-Denim-id_00000089-29_7_additional_segm.png,MEN-Denim-id_00000089
28,MEN-Denim-id_00000089-29_7_additional_segm_4.png,4,1,3,MEN-Denim-id_00000089-29_7_additional_segm.png,MEN-Denim-id_00000089
29,MEN-Denim-id_00000089-44_7_additional_segm_1.png,1,1,3,MEN-Denim-id_00000089-44_7_additional_segm.png,MEN-Denim-id_00000089
30,MEN-Denim-id_00000089-44_7_additional_segm_4.png,4,1,3,MEN-Denim-id_00000089-44_7_additional_segm.png,MEN-Denim-id_00000089
