masked_img_name,clothing_type,fabric,pattern,segm_name,img_id
WOMEN-Dresses-id_00001403-02_1_front_segm_5.png,5,4,0,WOMEN-Dresses-id_00001403-02_1_front_segm.png,WOMEN-Dresses-id_00001403
WOMEN-Dresses-id_00001927-01_4_full_segm_5.png,5,1,0,WOMEN-Dresses-id_00001927-01_4_full_segm.png,WOMEN-Dresses-id_00001927
WOMEN-Dresses-id_00006452-02_4_full_segm_5.png,5,1,0,WOMEN-Dresses-id_00006452-02_4_full_segm.png,WOMEN-Dresses-id_00006452
WOMEN-Dresses-id_00002057-02_4_full_segm_5.png,5,1,0,WOMEN-Dresses-id_00002057-02_4_full_segm.png,WOMEN-Dresses-id_00002057
WOMEN-Jackets_Coats-id_00000163-01_4_full_segm_2.png,2,1,0,WOMEN-Jackets_Coats-id_00000163-01_4_full_segm.png,WOMEN-Jackets_Coats-id_00000163
WOMEN-Skirts-id_00004791-02_4_full_segm_3.png,3,1,0,WOMEN-Skirts-id_00004791-02_4_full_segm.png,WOMEN-Skirts-id_00004791
WOMEN-Skirts-id_00002805-06_4_full_segm_3.png,3,1,0,WOMEN-Skirts-id_00002805-06_4_full_segm.png,WOMEN-Skirts-id_00002805
WOMEN-Blouses_Shirts-id_00002193-02_4_full_segm_1.png,1,4,0,WOMEN-Blouses_Shirts-id_00002193-02_4_full_segm.png,WOMEN-Blouses_Shirts-id_00002193
WOMEN-Dresses-id_00003182-03_1_front_segm_4.png,4,1,0,WOMEN-Dresses-id_00003182-03_1_front_segm.png,WOMEN-Dresses-id_00003182
WOMEN-Tees_Tanks-id_00000505-01_4_full_segm_4.png,4,0,0,WOMEN-Tees_Tanks-id_00000505-01_4_full_segm.png,WOMEN-Tees_Tanks-id_00000505
WOMEN-Tees_Tanks-id_00005970-03_4_full_segm_1.png,1,1,0,WOMEN-Tees_Tanks-id_00005970-03_4_full_segm.png,WOMEN-Tees_Tanks-id_00005970
WOMEN-Blouses_Shirts-id_00001241-03_4_full_segm_1.png,1,1,0,WOMEN-Blouses_Shirts-id_00001241-03_4_full_segm.png,WOMEN-Blouses_Shirts-id_00001241
WOMEN-Dresses-id_00001370-04_4_full_segm_5.png,5,4,0,WOMEN-Dresses-id_00001370-04_4_full_segm.png,WOMEN-Dresses-id_00001370
WOMEN-Cardigans-id_00001369-02_2_side_segm_2.png,2,4,0,WOMEN-Cardigans-id_00001369-02_2_side_segm.png,WOMEN-Cardigans-id_00001369
MEN-Pants-id_00003517-01_4_full_segm_4.png,4,1,1,MEN-Pants-id_00003517-01_4_full_segm.png,MEN-Pants-id_00003517
WOMEN-Leggings-id_00001412-01_1_front_segm_1.png,1,1,1,WOMEN-Leggings-id_00001412-01_1_front_segm.png,WOMEN-Leggings-id_00001412
WOMEN-Tees_Tanks-id_00002867-08_4_full_segm_1.png,1,1,1,WOMEN-Tees_Tanks-id_00002867-08_4_full_segm.png,WOMEN-Tees_Tanks-id_00002867
WOMEN-Blouses_Shirts-id_00000171-01_4_full_segm_1.png,1,1,1,WOMEN-Blouses_Shirts-id_00000171-01_4_full_segm.png,WOMEN-Blouses_Shirts-id_00000171
MEN-Sweaters-id_00001496-01_4_full_segm_1.png,1,1,1,MEN-Sweaters-id_00001496-01_4_full_segm.png,MEN-Sweaters-id_00001496
WOMEN-Cardigans-id_00007592-03_7_additional_segm_2.png,2,3,1,WOMEN-Cardigans-id_00007592-03_7_additional_segm.png,WOMEN-Cardigans-id_00007592
WOMEN-Graphic_Tees-id_00002486-01_1_front_segm_1.png,1,1,1,WOMEN-Graphic_Tees-id_00002486-01_1_front_segm.png,WOMEN-Graphic_Tees-id_00002486
WOMEN-Dresses-id_00000825-02_1_front_segm_4.png,4,1,1,WOMEN-Dresses-id_00000825-02_1_front_segm.png,WOMEN-Dresses-id_00000825
WOMEN-Sweaters-id_00005586-01_1_front_segm_2.png,2,3,1,WOMEN-Sweaters-id_00005586-01_1_front_segm.png,WOMEN-Sweaters-id_00005586
WOMEN-Sweatshirts_Hoodies-id_00005200-01_7_additional_segm_1.png,1,1,1,WOMEN-Sweatshirts_Hoodies-id_00005200-01_7_additional_segm.png,WOMEN-Sweatshirts_Hoodies-id_00005200
WOMEN-Graphic_Tees-id_00004036-01_4_full_segm_1.png,1,1,1,WOMEN-Graphic_Tees-id_00004036-01_4_full_segm.png,WOMEN-Graphic_Tees-id_00004036
WOMEN-Sweatshirts_Hoodies-id_00003834-01_4_full_segm_1.png,1,1,1,WOMEN-Sweatshirts_Hoodies-id_00003834-01_4_full_segm.png,WOMEN-Sweatshirts_Hoodies-id_00003834
WOMEN-Dresses-id_00001572-06_4_full_segm_5.png,5,1,1,WOMEN-Dresses-id_00001572-06_4_full_segm.png,WOMEN-Dresses-id_00001572
WOMEN-Tees_Tanks-id_00004469-01_4_full_segm_3.png,3,1,1,WOMEN-Tees_Tanks-id_00004469-01_4_full_segm.png,WOMEN-Tees_Tanks-id_00004469
MEN-Tees_Tanks-id_00002163-03_4_full_segm_1.png,1,1,1,MEN-Tees_Tanks-id_00002163-03_4_full_segm.png,MEN-Tees_Tanks-id_00002163
WOMEN-Dresses-id_00006603-02_3_back_segm_3.png,3,4,1,WOMEN-Dresses-id_00006603-02_3_back_segm.png,WOMEN-Dresses-id_00006603
WOMEN-Blouses_Shirts-id_00007003-02_4_full_segm_1.png,1,4,1,WOMEN-Blouses_Shirts-id_00007003-02_4_full_segm.png,WOMEN-Blouses_Shirts-id_00007003
WOMEN-Sweaters-id_00007116-03_4_full_segm_5.png,5,1,1,WOMEN-Sweaters-id_00007116-03_4_full_segm.png,WOMEN-Sweaters-id_00007116
WOMEN-Tees_Tanks-id_00000212-01_4_full_segm_1.png,1,1,1,WOMEN-Tees_Tanks-id_00000212-01_4_full_segm.png,WOMEN-Tees_Tanks-id_00000212
WOMEN-Sweaters-id_00004429-04_1_front_segm_1.png,1,3,1,WOMEN-Sweaters-id_00004429-04_1_front_segm.png,WOMEN-Sweaters-id_00004429
